Activation Status,Deactivation Date,SalesForceID,RetailerAcc,TerminalID,Activation Date,SubscriberID,ESN,HEXESN,Phone Number,Base Plan,Brand,HandsetModelNumber,Door Type,1st MRC Payment,1st Payment %,1st Payment Commission,2nd MRC Payment,Days Since Activation,2nd Payment %,2nd Payment Commission,3rd MRC Payment,3rd Payment %,3rd Payment Commission,4th MRC Payment,4th Payment %,4th Payment Commission,5th MRC Payment,5th Payment %,5th Payment Commission,6th MRC Payment,6th Payment %,6th Payment Commission,7th MRC Payment,7th Payment %,7th Payment Commission,8th MRC Payment,8th Payment %,8th Payment Commission,Total Commissions to Date,Adjusted Reason
Active,,0013000000HnF9fAAF,451250,605373,08/21/2023,a906aa50-919f-4d65-a6e9-ff4309797fff,"=""089800910403369346""","=""35868810336982""",555-167-8997,$15 Unlimited Talk & Text + 2GB 5G/4G Data (TI),Virgin,SPHA102UAN1,1,08/21/2023,20.00%,$3.00,,,,,,,,,,,,,,,,,,,,,,,$3.00,
Active,,0013000000HnF9fAAF,451250,605373,08/11/2023,df43e6dc-7ba2-4108-b750-67172e6ffabc,"=""089871342605665415""","=""35914752567287""",555-693-5009,$25 Unlimited Talk & Text + 5GB 5G/4G Data (TI),Virgin,SPHA236UANB,1,08/11/2023,20.00%,$5.00,09/11/2023,31.0,20.00%,$5.00,,,,,,,,,,,,,,,,,,,$10.00,
Active,,0013000000HnF9fAAF,451250,605373,08/25/2023,2d98a882-1572-46ec-9f26-a922081a9de4,"=""089864683902172533""","=""35904337212675""",555-269-7534,$25 Unlimited Talk & Text + 5GB 5G/4G Data (TI),Virgin,BYOSMGS21FG990U2,1,08/25/2023,20.00%,$5.00,,,,,,,,,,,,,,,,,,,,,,,$5.00,
Active,,0013000000HnF9fAAF,451250,605373,08/12/2023,44f81504-b3cb-47da-9397-1cbb24a845b3,"=""089296667203249415""","=""35399710319507""",555-281-7804,$25 Unlimited Talk & Text + 5GB 5G/4G Data (TI),Virgin,BYOIPH11GLOBK128,1,08/13/2023,20.00%,$5.00,,,,,,,,,,,,,,,,,,,,,,,$5.00,
Active,,0013000000HnF9fAAF,451250,605373,08/14/2023,51bce78a-9f3a-496a-b624-f57b7b49ce32,"=""089296667207681124""","=""35399710753464""",555-447-9346,$25 Unlimited Talk & Text + 5GB 5G/4G Data (TI),Virgin,BYOIPH11GLOWT128,1,08/15/2023,20.00%,$5.00,,,,,,,,,,,,,,,,,,,,,,,$5.00,
Active,,0013000000HnF9fAAF,451250,605373,08/02/2023,2288487c-83fe-4d90-872f-2952b8012854,"=""002316492800200967""","=""01617800031107""",555-822-9261,$30 UNL TLK TXT + 10GB 5G/4G Data + HS (TI),Virgin,TCL9132SANB,1,08/02/2023,20.00%,$6.00,,,,,,,,,,,,,,,,,,,,,,,$6.00,
Active,,0013000000HnF9fAAF,451250,605373,08/11/2023,41c58142-a521-49a0-9328-b8fe303273c8,"=""002316492800201273""","=""01617800031239""",555-720-6770,$30 UNL TLK TXT + 10GB 5G/4G Data + HS (TI),Virgin,TCL9132SANB,1,08/11/2023,20.00%,$6.00,,,,,,,,,,,,,,,,,,,,,,,$6.00,
Active,,0013000000HnF9fAAF,451250,605373,08/25/2023,438923de-bc0a-477d-a9f3-895e54c1b511,"=""089464947402195860""","=""35534482218194""",555-942-4395,$40 Unlimited Talk & Text + 15GB 5G/4G Data (TI),Virgin,MOXT22715ANB,1,08/25/2023,20.00%,$8.00,,,,,,,,,,,,,,,,,,,,,,,$8.00,
Active,,0013000000HnF9fAAF,451250,605373,08/28/2023,45664660-3f88-4788-b38a-80c8a5ac8458,"=""002316083200534025""","=""01616800082609""",555-369-7951,$40 Unlimited Talk & Text + 15GB 5G/4G Data (TI),Virgin,TCLT767WANB,1,08/28/2023,20.00%,$8.00,,,,,,,,,,,,,,,,,,,,,,,$8.00,
Active,,0013000000HnF9fAAF,451250,605373,08/19/2023,08cb30f4-b272-40a9-af0a-2f24c1e0b5db,"=""089496604909439121""","=""35581921900791""",555-496-6834,$40 Unlimited Talk & Text + 15GB 5G/4G Data (TI),Virgin,SPHA037UANB,1,08/19/2023,20.00%,$8.00,,,,,,,,,,,,,,,,,,,,,,,$8.00,
