Activation Status,Deactivation Date,SalesForceID,RetailerAcc,TerminalID,Activation Date,SubscriberID,ESN,HEXESN,Phone Number,Base Plan,Brand,HandsetModelNumber,Door Type,1st MRC Payment,1st Payment %,1st Payment Commission,2nd MRC Payment,Days Since Activation,2nd Payment %,2nd Payment Commission,3rd MRC Payment,3rd Payment %,3rd Payment Commission,4th MRC Payment,4th Payment %,4th Payment Commission,5th MRC Payment,5th Payment %,5th Payment Commission,6th MRC Payment,6th Payment %,6th Payment Commission,7th MRC Payment,7th Payment %,7th Payment Commission,8th MRC Payment,8th Payment %,8th Payment Commission,Total Commissions to Date,Adjusted Reason
Active,,0013000000HnF9fAAF,451250,605373,07/21/2023,102e9f1b-1673-4fed-ad6a-dd3f86e313e3,"=""089558312500557127""","=""35618395088047""",555-396-1731,$15 Unlimited Talk & Text + 2GB 5G/4G Data (TI),Virgin,PDF318BSOAN1,1,07/21/2023,20.00%,$3.00,,,,,,,,,,,,,,,,,,,,,,,$3.00,
Active,,0013000000HnF9fAAF,451250,605373,07/10/2023,37e44203-e872-49e9-9077-8f0a285c950a,"=""089052802408982644""","=""35146118891074""",555-843-9656,$15 Unlimited Talk & Text + 2GB 5G/4G Data (TI),Virgin,194252096734,1,07/10/2023,0.00%,$0.00,08/11/2023,32.0,0.00%,$0.00,09/11/2023,0.00%,$0.00,,,,,,,,,,,,,,,,$0.00,National Retailer Blacklist
Active,,0013000000HnF9fAAF,451250,605373,07/22/2023,7b6719c7-a682-4d91-a1d2-d7897b0bc94d,"=""089575541606367634""","=""35642498612992""",555-743-2222,$15 Unlimited Talk & Text + 2GB 5G/4G Data (TI),Virgin,SPHA136U4ANB,1,07/22/2023,20.00%,$3.00,08/22/2023,31.0,20.00%,$4.00,,,,,,,,,,,,,,,,,,,$7.00,
Active,,0013000000HnF9fAAF,451250,605373,07/10/2023,b17707d7-b5d8-4e0c-8578-fdaa26269538,"=""089188097707345284""","=""35290611701484""",555-615-5061,$15 Unlimited Talk & Text + 2GB 5G/4G Data (TI),Virgin,BYOIPHONE11RED64,1,07/11/2023,20.00%,$3.00,08/11/2023,32.0,20.00%,$3.00,,,,,,,,,,,,,,,,,,,$6.00,
Active,,0013000000HnF9fAAF,451250,605373,07/03/2023,88b66a8f-ef2d-4dc4-89ff-df2165b9071c,"=""089549808201651268""","=""35603762193244""",555-381-3368,$25 Unlimited Talk & Text + 5GB 5G/4G Data (TI),Virgin,MOXT22133ANB,1,07/03/2023,20.00%,$5.00,08/03/2023,31.0,20.00%,$5.00,09/04/2023,20.00%,$5.00,,,,,,,,,,,,,,,,$15.00,
Active,,0013000000HnF9fAAF,451250,605373,07/26/2023,a0391d36-83e5-4b75-a919-a594b4df8208,"=""225248205301145185""","=""86422605117961""",555-971-7311,$25 Unlimited Talk & Text + 5GB 5G/4G Data (TI),Virgin,BYOU318AA,1,07/27/2023,20.00%,$5.00,,,,,,,,,,,,,,,,,,,,,,,$5.00,
Active,,0013000000HnF9fAAF,451250,605373,07/20/2023,40246774-3c7f-4aa3-8ce6-d6d9b48906e0,"=""089296667207607865""","=""35399710741639""",555-929-2716,$25 Unlimited Talk & Text + 5GB 5G/4G Data (TI),Virgin,BYOIPH11GLOWT64,1,07/20/2023,20.00%,$5.00,08/24/2023,35.0,20.00%,$5.00,,,,,,,,,,,,,,,,,,,$10.00,
Active,,0013000000HnF9fAAF,451250,605373,07/12/2023,075d6789-6531-49c9-be0f-39b76c908775,"=""002316492800200834""","=""01617800031082""",555-370-6742,$30 UNL TLK TXT + 10GB 5G/4G Data + HS (TI),Virgin,TCL9132SANB,1,08/12/2023,20.00%,$6.00,,,,,,,,,,,,,,,,,,,,,,,$6.00,
Active,,0013000000HnF9fAAF,451250,605373,07/18/2023,655c8938-6b33-440e-9f18-21ac121612a7,"=""002316492800206133""","=""01617800032535""",555-473-2957,$30 UNL TLK TXT + 10GB 5G/4G Data + HS (TI),Virgin,TCL9132SANB,1,07/18/2023,20.00%,$6.00,,,,,,,,,,,,,,,,,,,,,,,$6.00,
Active,,0013000000HnF9fAAF,451250,605373,07/11/2023,133778a3-e86d-41a0-8bff-2b40daf49202,"=""002316492800136295""","=""01617800021467""",555-615-6046,$30 UNL TLK TXT + 10GB 5G/4G Data + HS (TI),Virgin,TCL9132SANB,1,07/12/2023,20.00%,$6.00,,,,,,,,,,,,,,,,,,,,,,,$6.00,
