Activation Status,Deactivation Date,SalesForceID,RetailerAcc,TerminalID,Activation Date,SubscriberID,ESN,HEXESN,Phone Number,Base Plan,Brand,HandsetModelNumber,Door Type,1st MRC Payment,1st Payment %,1st Payment Commission,2nd MRC Payment,Days Since Activation,2nd Payment %,2nd Payment Commission,3rd MRC Payment,3rd Payment %,3rd Payment Commission,4th MRC Payment,4th Payment %,4th Payment Commission,5th MRC Payment,5th Payment %,5th Payment Commission,6th MRC Payment,6th Payment %,6th Payment Commission,7th MRC Payment,7th Payment %,7th Payment Commission,8th MRC Payment,8th Payment %,8th Payment Commission,Total Commissions to Date,Adjusted Reason
Active,,0013000000HnF9fAAF,451250,605373,06/05/2023,eaf7f6d4-ab08-485f-8853-acaf8d114530,"=""089077453702637913""","=""35182409284059""",555-866-6735,$15 Unlimited Talk & Text + 2GB 5G/4G Data (TI),Virgin,BYOSEAGXNT8N950U,1,06/06/2023,,$7.50,07/06/2023,31.0,,$7.50,08/06/2023,,$7.50,,,,,,,,,,,,,,,,$22.50,
Active,,0013000000HnF9fAAF,451250,605373,06/07/2023,de9429dd-b247-4cf2-94ad-fc3392adc550,"=""002316492800234304""","=""01617800039340""",555-111-3627,$30 UNL TLK TXT + 10GB 5G/4G Data + HS (TI),Virgin,TCL9132SANB,1,06/07/2023,,$15.00,08/07/2023,61.0,,$0.00,,,,,,,,,,,,,,,,,,,$15.00,
Active,,0013000000HnF9fAAF,451250,605373,06/06/2023,f8c44ee5-ea82-409f-b71f-c5d35672b77a,"=""002316492800231315""","=""01617800038793""",555-453-6751,$30 UNL TLK TXT + 10GB 5G/4G Data + HS (TI),Virgin,TCL9132SANB,1,06/06/2023,,$15.00,08/06/2023,61.0,,$0.00,,,,,,,,,,,,,,,,,,,$15.00,
Active,,0013000000HnF9fAAF,451250,605373,06/01/2023,1c79b110-56f2-4092-8b79-3938333da319,"=""002316492800231778""","=""01617800038962""",555-413-6997,$30 UNL TLK TXT + 10GB 5G/4G Data + HS (TI),Virgin,TCL9132SANB,1,06/01/2023,,$15.00,08/01/2023,61.0,,$0.00,,,,,,,,,,,,,,,,,,,$15.00,
Active,,0013000000HnF9fAAF,451250,605373,06/06/2023,52f49fed-5253-4bcb-8345-fcf74d726451,"=""089464947401325382""","=""35534482143946""",555-271-3939,$30 UNL TLK TXT + 10GB 5G/4G Data + HS (TI),Virgin,MOXT22715ANB,1,06/06/2023,,$15.00,08/06/2023,61.0,,$15.00,,,,,,,,,,,,,,,,,,,$30.00,
Active,,0013000000HnF9fAAF,451250,605373,06/01/2023,64bfd0b0-dee4-495e-a0d1-4f019f91b61f,"=""002316492800132403""","=""01617800020533""",555-846-6855,$30 UNL TLK TXT + 10GB 5G/4G Data + HS (TI),Virgin,TCL9132SANB,1,06/01/2023,,$15.00,08/01/2023,61.0,,$0.00,,,,,,,,,,,,,,,,,,,$15.00,
Active,,0013000000HnF9fAAF,451250,605373,06/02/2023,879b4faf-7a1f-4f35-99bd-c044890dbb92,"=""089558312500159782""","=""35618395027026""",555-189-2130,$30 UNL TLK TXT + 10GB 5G/4G Data + HS (TI),Virgin,PDF318BSOANB,1,06/02/2023,0.00%,$0.00,08/03/2023,62.0,0.00%,$0.00,,,,,,,,,,,,,,,,,,,$0.00,National Retailer Blacklist
Active,,0013000000HnF9fAAF,451250,605373,06/06/2023,a6335fab-4df5-48a6-9e57-ed6c372b7b5c,"=""002316492800136215""","=""01617800021417""",555-411-5095,$30 UNL TLK TXT + 10GB 5G/4G Data + HS (TI),Virgin,TCL9132SANB,1,06/06/2023,,$15.00,08/06/2023,61.0,,$0.00,,,,,,,,,,,,,,,,,,,$15.00,
Deactivated,08/26/2023,0013000000HnF9fAAF,451250,605373,06/26/2023,b34b93a2-53c5-4b76-958d-8ee3b9112315,"=""089549808203441763""","=""35603762348463""",555-857-8671,$40 Unlimited Talk & Text + 15GB 5G/4G Data (TI),Virgin,MOXT22133ANB,1,06/26/2023,,$15.00,,,,,,,,,,,,,,,,,,,,,,,$15.00,
Active,,0013000000HnF9fAAF,451250,605373,06/07/2023,7baf5ea4-8b83-48da-9b19-3a181378a6cc,"=""089486555201139283""","=""35569090116253""",555-376-3767,$40 Unlimited Talk & Text + 15GB 5G/4G Data (TI),Virgin,SPHA146UANB,1,06/08/2023,,$15.00,07/08/2023,31.0,,$15.00,08/10/2023,,$25.00,,,,,,,,,,,,,,,,$55.00,
